Price,Close,High,Low,Open,Volume
Date,,,,,
1/3/2023,366.0691223144531,371.4618075052157,363.1949186189587,369.48160298932663,74850700
1/4/2023,368.8951721191406,370.93304981286974,365.2808052899679,368.3376218305615,85934100
1/5/2023,364.6849060058594,367.04961089547925,364.0889260962027,366.9342637304482,76970500
1/6/2023,373.0478516,374.1725449520528,364.71369723961243,367.7897288196835,104189600
1/9/2023,372.8363952636719,378.4502111850601,372.6537818207894,375.24918087816104,73978100
1/10/2023,375.4510498046875,375.5183454272887,371.3079980261493,372.2500487360848,65358100
1/11/2023,380.1996765136719,380.2765941727516,376.22005305330094,377.0371345019458,68881100
1/12/2023,381.5838928222656,383.05462766402485,377.21976916675254,381.3051469866937,90157700
1/13/2023,383.0641784667969,383.6409434482731,378.1040465628782,378.3731996428357,63903900
1/17/2023,382.36248779296875,384.7272215523522,381.6799976439543,383.0450072774721,62677300
1/18/2023,376.3257751464844,384.6215000897915,376.1239176301297,383.55450959642553,99632300
1/19/2023,373.58612060546875,375.9315806997768,372.25956993864435,374.2782033859137,86958900
1/20/2023,380.54571533203125,380.69952130177495,373.3362255124201,374.98960301780386,91806400
1/23/2023,385.1117248535156,387.0534702139708,380.39190867323447,381.35317398077467,84178800
1/24/2023,384.6983947753906,385.61157923279035,382.23755789038205,383.4295175059516,59524900
1/25/2023,384.84259033203125,385.17903907302156,378.315590364586,380.6130286416279,84800300
1/26/2023,389.0721435546875,389.2355715689227,384.53497000924045,387.5148984088141,72287400
1/27/2023,389.9661560058594,392.35010485384606,387.8129308112218,388.0244103810875,68346200
1/30/2023,385.07330322265625,389.4374563543724,384.7753132953742,387.1976915435842,74202000
1/31/2023,390.7351379394531,390.78318947127025,385.2462918392246,385.5923626089722,86811800
2/1/2023,394.8877868652344,397.64664301137975,386.7651124067299,389.51431717670346,101459200
2/2/2023,400.6361999511719,402.1069348680651,396.8872706861001,398.79055744002517,101654500
2/3/2023,396.37774658203125,400.818787510041,395.1665429342146,395.6471755772544,94736800
2/6/2023,393.9553527832031,395.35882127051354,392.2923825560251,393.91692329199503,60295300
2/7/2023,399.1077880859375,400.3574213852453,391.78295035245776,393.0325836517656,90990700
2/8/2023,394.74359130859375,398.47330538262435,394.0514791161398,397.1275398238218,76227500
2/9/2023,391.32147216796875,398.5117468918236,390.09105380546026,398.35794092957406,78694900
2/10/2023,392.23468017578125,392.6191804080484,389.3220476465138,390.13909963927375,70769700
2/13/2023,396.8391418457031,396.97373306906144,392.4269376283513,392.88835553423695,64913500
2/14/2023,396.6565246582031,398.9731481995332,392.6864943036978,395.3107297793623,88389300
2/15/2023,397.9446105957031,398.02149891037635,393.6092948018598,394.45521294070613,61555700
