Price,Close,High,Low,Open,Volume
Date,,,,,
1/2/2015,170.58963012695312,171.79372424609872,169.55162669385544,171.37852287285963,121465900
1/5/2015,167.50888061523438,169.70944331873957,167.20163558480544,169.54336526637104,169632600
1/6/2015,165.9310760498047,168.33923884704024,165.13388387080252,167.8160810836032,209151400
1/7/2015,167.99871826171875,168.33918630851923,166.81124883581793,167.25966058528658,125346700
1/8/2015,170.9799041748047,171.19581697776195,169.3938447097477,169.41044364002198,147217800
1/9/2015,169.60971069335938,171.41168259857324,168.99520828157452,171.3950710007043,158567300
1/12/2015,168.28103637695312,169.90033114640943,167.67484619051882,169.74255266766778,144396100
1/13/2015,167.8078155517578,170.63118027606808,166.50407694778815,169.5018318521555,214553300
1/14/2015,166.79470825195312,166.99400948708964,164.89309139992284,165.78991528068406,192991100
1/15/2015,165.2667236328125,167.74961921677988,165.15046777942544,167.43407485526512,176613900
1/16/2015,167.43409729003906,167.5918758274063,164.8764555018834,165.0591451061045,211879600
1/20/2015,167.79115295410156,168.33922172950153,166.22169249432056,168.0734868065421,130991100
1/21/2015,168.6381378173828,169.1197727781758,166.8610770100815,167.32610037334743,122942700
1/22/2015,171.14596557617188,171.2788203503415,168.01534450713342,169.3938157405064,174356000
1/23/2015,170.2076416015625,171.14600070268122,170.07477412918576,170.88856522334896,117516800
1/26/2015,170.60621643066406,170.6975612260688,169.2775798358859,169.99172659879434,92009700
1/27/2015,168.3558349609375,169.50178198222102,167.52543232505212,168.5468240193283,134044600
1/28/2015,166.19679260253906,169.64295867138682,166.00580353315837,169.54331440404724,168514300
1/29/2015,167.73304748535156,167.99047029738128,164.9844038793491,166.39609861915292,173585400
1/30/2015,165.623779296875,167.88247515427264,165.3580570806183,166.55383873111552,197729700
2/2/2015,167.67486572265625,167.7662105014665,164.30343371173709,166.12201715381815,163107000
2/3/2015,170.0996856689453,170.10799780532918,168.1980690651613,168.57174774518685,124212900
2/4/2015,169.4519500732422,170.54808757140913,168.9952261156726,169.33569421776428,134306700
2/5/2015,171.16259765625,171.31207672868194,170.04156163223797,170.1162948329842,97953200
2/6/2015,170.68930053710938,172.09268331670975,170.16614271085942,171.5280028156724,125672000
2/9/2015,169.92532348632812,170.76402572548312,169.5184215660371,170.04157936770545,87219000
2/10/2015,171.73556518554688,171.99298797245132,169.9668035361293,170.9632968248335,96164200
2/11/2015,171.835205078125,172.2670179808579,170.92176981461634,171.56948283324658,91087800
2/12/2015,173.48777770996094,173.54591199681036,171.86849453909775,172.63246371019875,97545900
2/13/2015,174.2018280029297,174.25165012345386,173.35481394121052,173.61224934881218,93670400
2/17/2015,174.4759063720703,174.65029650885467,173.63720423271897,173.886314898212,76968200
2/18/2015,174.49249267578125,174.56722586459446,173.8364675625878,174.1022024618402,80652900
2/19/2015,174.36795043945312,174.7333296444128,173.7534605683294,173.8946275028021,91462500
2/20/2015,175.41419982910156,175.48893300079305,173.3298817872968,173.9526835599283,140896400
2/23/2015,175.38937377929688,175.38937377929688,174.7831706370492,175.16516148461704,74411100
2/24/2015,175.88758850097656,176.08688970444283,175.01566315835314,175.3146086280829,72472300
2/25/2015,175.7381134033203,176.24465951665343,175.39764528251933,175.7630244686532,73061700
2/26/2015,175.5305633544922,175.80459782310314,174.9243601341063,175.64681924987784,72697900
2/27/2015,174.9325714111328,175.69654009331927,174.88274929482813,175.4308052451144,108076000
3/2/2015,176.0370635986328,176.0951851956618,174.9824486776999,175.03227080970728,87491400
3/3/2015,175.31460571289062,176.0868867764088,174.45099252077577,175.60525171257856,110325800
3/4/2015,174.57557678222656,174.79148961924065,173.6040070284865,174.71674373745978,114497200
3/5/2015,174.7665557861328,175.0488896598261,174.26000963818214,174.8994105866747,76873000
3/6/2015,172.3085938,174.33477875927844,171.97643767379853,173.90296572346284,188128000
3/9/2015,173.022705078125,173.3797721529451,172.3500809262531,172.507859464779,89818900
